Id,first name,last name,gender,Phone,mail_id,dob,attendance,study hours,maths assignment,maths viva,physics assignment,physics viva,che assignment,che viva,Parental Involvement,Failures,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
25622,Ian,Farmer,male,6561903307.0,Ian_25622@gmail.com,2004-8-22,89.0,4.0,8.0,9.0,8.0,9.0,8.0,8.0,4.0,0.0,102.0,105.0,100.0,105.0,101.0,104.0,105.0,104.0,103.0,103.0,101.0,105.0,101.0,103.0,103.0
25623,Cynthia,Garcia,female,8303804627.0,Cynthia_25623@gmail.com,2003-10-12,81.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,5.0,0.0,100.0,100.0,100.0,95.0,98.0,98.0,95.0,97.0,97.0,100.0,95.0,95.0,96.0,97.0,97.0
25624,Michael,Walker,male,6495625754.0,Michael_25624@gmail.com,2004-12-15,75.0,0.0,7.0,8.0,8.0,7.0,7.0,7.0,5.0,0.0,90.0,92.0,91.0,93.0,92.0,93.0,91.0,94.0,90.0,95.0,95.0,94.0,93.0,95.0,93.0
25625,Maureen,Griffin,male,8301610899.0,Maureen_25625@gmail.com,2002-2-21,71.0,5.0,8.0,8.0,7.0,8.0,7.0,7.0,4.0,0.0,90.0,86.0,86.0,87.0,87.0,86.0,89.0,87.0,87.0,86.0,85.0,89.0,86.0,90.0,89.0
25626,Deanna,Johnson,male,7659228328.0,Deanna_25626@gmail.com,2004-1-12,65.0,2.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,0.0,83.0,84.0,85.0,85.0,85.0,83.0,85.0,80.0,82.0,83.0,83.0,83.0,69.0,51.0,69.0
25627,Elizabeth,Gardner,female,6345258032.0,Elizabeth_25627@gmail.com,2002-9-21,62.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,0.0,79.0,80.0,78.0,76.0,76.0,75.0,76.0,76.0,77.0,78.0,78.0,79.0,80.0,76.0,78.0
25628,Rebekah,Garcia,male,7923179110.0,Rebekah_25628@gmail.com,2002-6-27,59.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,0.0,72.0,70.0,74.0,73.0,73.0,75.0,70.0,73.0,72.0,71.0,72.0,73.0,74.0,70.0,73.0
25629,Jared,Edwards,male,6940870595.0,Jared_25629@gmail.com,2002-3-23,54.0,2.0,5.0,5.0,5.0,6.0,6.0,5.0,10.0,0.0,69.0,69.0,66.0,69.0,69.0,67.0,70.0,70.0,66.0,65.0,70.0,69.0,67.0,68.0,70.0
25630,Christopher,Lowe,female,7705594091.0,Christopher_25630@gmail.com,2002-5-3,48.0,8.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,0.0,65.0,60.0,64.0,65.0,63.0,61.0,61.0,60.0,65.0,64.0,61.0,62.0,65.0,63.0,65.0
25631,Heather,Young,male,9020280828.0,Heather_25631@gmail.com,2002-5-16,44.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,0.0,56.0,57.0,57.0,59.0,57.0,55.0,55.0,60.0,60.0,59.0,58.0,57.0,55.0,60.0,58.0
25632,Kyle,Baker,male,8640093356.0,Kyle_25632@gmail.com,2004-3-12,39.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,10.0,0.0,53.0,54.0,50.0,55.0,54.0,55.0,50.0,54.0,52.0,53.0,53.0,54.0,53.0,52.0,53.0
25633,Jared,Osborne,female,6941831456.0,Jared_25633@gmail.com,2004-6-13,35.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,10.0,0.0,49.0,48.0,46.0,46.0,45.0,49.0,45.0,48.0,45.0,48.0,46.0,48.0,50.0,50.0,48.0
25634,Cynthia,Ball,male,6377405226.0,Cynthia_25634@gmail.com,2002-5-13,26.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,42.0,40.0,43.0,45.0,40.0,41.0,41.0,44.0,43.0,45.0,40.0,43.0,45.0,41.0,40.0
25635,Brenda,Moore,male,9012283828.0,Brenda_25635@gmail.com,2002-6-22,23.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,9.0,0.0,40.0,39.0,36.0,37.0,37.0,38.0,37.0,39.0,37.0,40.0,37.0,35.0,36.0,35.0,38.0
25636,Marie,Howell,female,7182303989.0,Marie_25636@gmail.com,2004-6-7,17.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,0.0,33.0,30.0,32.0,32.0,33.0,35.0,32.0,30.0,32.0,32.0,32.0,33.0,32.0,34.0,30.0
25637,David,George,male,8609870584.0,David_25637@gmail.com,2002-8-28,13.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,26.0,30.0,30.0,27.0,26.0,25.0,29.0,28.0,27.0,26.0,28.0,27.0,30.0,26.0,26.0
25638,Caroline,Good,male,8665576735.0,Caroline_25638@gmail.com,2004-5-27,8.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,11.0,13.0,16.0,19.0,18.0,15.0,22.0,13.0,14.0,18.0,12.0,11.0,18.0,25.0,19.0
25639,John,Smith,female,7768218460.0,John_25639@gmail.com,2004-12-16,2.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,4.0,7.0,6.0,0.0,9.0,1.0,3.0,9.0,2.0,0.0,1.0,10.0,2.0,3.0,6.0
25640,Shawn,Coleman,male,7969294291.0,Shawn_25640@gmail.com,2002-11-4,96.0,1.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,0.0,112.0,118.0,111.0,112.0,115.0,118.0,112.0,112.0,120.0,114.0,118.0,112.0,118.0,112.0,119.0
25641,Elizabeth,Gonzalez,male,7990516905.0,Elizabeth_25641@gmail.com,2003-4-22,92.0,4.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,0.0,105.0,107.0,106.0,105.0,106.0,108.0,106.0,109.0,108.0,108.0,108.0,108.0,110.0,105.0,105.0
25642,Steven,Wood,male,8182398629.0,Steven_25642@gmail.com,2002-8-10,88.0,3.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,100.0,102.0,105.0,103.0,100.0,102.0,104.0,105.0,105.0,100.0,104.0,102.0,101.0,104.0,103.0
25643,Raven,Foster,male,8199983947.0,Raven_25643@gmail.com,2002-2-18,82.0,3.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,0.0,96.0,98.0,99.0,98.0,99.0,96.0,96.0,98.0,95.0,96.0,100.0,95.0,98.0,95.0,100.0
25644,Eric,Elliott,female,8577408059.0,Eric_25644@gmail.com,2002-5-18,78.0,2.0,7.0,8.0,8.0,8.0,8.0,7.0,3.0,0.0,92.0,91.0,95.0,91.0,92.0,90.0,94.0,94.0,94.0,93.0,92.0,92.0,90.0,90.0,93.0
25645,Cheryl,Williams,female,6984606904.0,Cheryl_25645@gmail.com,2002-9-14,73.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,0.0,86.0,89.0,85.0,86.0,88.0,85.0,90.0,89.0,88.0,85.0,88.0,86.0,90.0,86.0,90.0
25646,Jason,Carter,male,6854980557.0,Jason_25646@gmail.com,2002-11-2,69.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,0.0,82.0,81.0,82.0,81.0,81.0,84.0,85.0,82.0,83.0,80.0,80.0,80.0,84.0,63.0,50.0
25647,Brian,Gardner,male,8516509600.0,Brian_25647@gmail.com,2002-3-11,62.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,4.0,0.0,79.0,76.0,75.0,79.0,79.0,75.0,80.0,80.0,75.0,76.0,79.0,77.0,76.0,77.0,77.0
25648,Carlos,Flores,male,8091594695.0,Carlos_25648@gmail.com,2004-4-17,56.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,9.0,0.0,73.0,73.0,72.0,72.0,74.0,71.0,75.0,74.0,75.0,71.0,75.0,73.0,73.0,70.0,74.0
25649,Perry,Hodges,female,6684927335.0,Perry_25649@gmail.com,2003-12-2,54.0,0.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,0.0,68.0,70.0,65.0,65.0,70.0,69.0,66.0,68.0,67.0,70.0,69.0,70.0,69.0,68.0,65.0
25650,Tony,Harvey,male,8223585477.0,Tony_25650@gmail.com,2004-9-3,50.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,10.0,0.0,64.0,61.0,65.0,64.0,65.0,63.0,65.0,61.0,61.0,64.0,62.0,60.0,62.0,65.0,65.0
25651,Lance,Smith,male,6778825084.0,Lance_25651@gmail.com,2003-9-26,41.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,0.0,55.0,58.0,56.0,60.0,57.0,55.0,56.0,57.0,57.0,57.0,58.0,60.0,55.0,60.0,57.0
25652,Jennifer,Larsen,female,6578351788.0,Jennifer_25652@gmail.com,2004-3-28,37.0,7.0,3.0,4.0,3.0,4.0,3.0,4.0,8.0,0.0,51.0,55.0,55.0,50.0,50.0,55.0,54.0,53.0,50.0,53.0,53.0,54.0,54.0,54.0,51.0
25653,Anthony,Chandler,male,6877668187.0,Anthony_25653@gmail.com,2003-3-2,34.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,50.0,49.0,48.0,49.0,50.0,47.0,47.0,50.0,46.0,48.0,45.0,49.0,49.0,50.0,50.0
25654,Brian,Wilson,male,7420190432.0,Brian_25654@gmail.com,2004-10-23,29.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,43.0,41.0,41.0,40.0,40.0,43.0,44.0,40.0,41.0,41.0,44.0,42.0,44.0,44.0,45.0
25655,Mary,Thornton,female,9270653329.0,Mary_25655@gmail.com,2003-8-13,22.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,6.0,0.0,39.0,36.0,40.0,38.0,38.0,40.0,35.0,35.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0
25656,Jonathan,Mcdonald,male,6868014673.0,Jonathan_25656@gmail.com,2004-6-7,17.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,10.0,0.0,35.0,35.0,34.0,30.0,33.0,33.0,34.0,31.0,34.0,35.0,31.0,30.0,32.0,35.0,32.0
25657,Christopher,Rosales,female,7402367278.0,Christopher_25657@gmail.com,2002-4-2,13.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,25.0,29.0,26.0,29.0,28.0,27.0,30.0,28.0,27.0,26.0,28.0,30.0,28.0,27.0,26.0
25658,Shawn,Howard,male,6816901478.0,Shawn_25658@gmail.com,2003-12-12,5.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,10.0,14.0,22.0,24.0,14.0,24.0,22.0,21.0,21.0,18.0,20.0,25.0,25.0,23.0,15.0
25659,Anita,Hughes,female,7808518263.0,Anita_25659@gmail.com,2003-7-23,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,0.0,3.0,0.0,2.0,10.0,7.0,1.0,3.0,6.0,10.0,4.0,5.0,4.0
25660,Susan,Flores,male,9331603213.0,Susan_25660@gmail.com,2004-8-25,96.0,5.0,10.0,9.0,10.0,10.0,9.0,9.0,5.0,0.0,113.0,117.0,120.0,118.0,110.0,110.0,118.0,120.0,112.0,110.0,110.0,120.0,117.0,114.0,116.0
25661,Stephen,Smith,male,7197206157.0,Stephen_25661@gmail.com,2004-9-12,91.0,5.0,10.0,9.0,10.0,10.0,9.0,9.0,5.0,0.0,110.0,105.0,107.0,106.0,110.0,109.0,106.0,105.0,109.0,109.0,106.0,108.0,105.0,107.0,105.0
25662,Christine,Page,female,7175971853.0,Christine_25662@gmail.com,2003-3-26,88.0,5.0,8.0,9.0,9.0,8.0,8.0,9.0,1.0,0.0,101.0,104.0,102.0,100.0,102.0,102.0,102.0,104.0,104.0,102.0,103.0,101.0,101.0,105.0,100.0
25663,Chelsea,Porter,male,9072761776.0,Chelsea_25663@gmail.com,2003-1-14,84.0,5.0,9.0,9.0,9.0,9.0,8.0,8.0,4.0,0.0,100.0,96.0,99.0,95.0,98.0,97.0,98.0,100.0,99.0,100.0,100.0,95.0,99.0,99.0,100.0
25664,Ronald,Myers,male,7952876503.0,Ronald_25664@gmail.com,2002-2-9,80.0,4.0,7.0,8.0,7.0,8.0,8.0,7.0,6.0,0.0,93.0,92.0,90.0,95.0,94.0,95.0,95.0,95.0,92.0,93.0,93.0,90.0,90.0,95.0,93.0
25665,Robert,Williams,male,7371603953.0,Robert_25665@gmail.com,2002-9-28,74.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,2.0,0.0,90.0,85.0,90.0,87.0,89.0,90.0,88.0,85.0,89.0,89.0,87.0,86.0,88.0,88.0,85.0
25666,Karen,Johnson,female,7492704861.0,Karen_25666@gmail.com,2003-4-26,68.0,4.0,7.0,6.0,7.0,7.0,6.0,6.0,4.0,0.0,82.0,84.0,85.0,80.0,82.0,81.0,83.0,82.0,84.0,81.0,81.0,82.0,73.0,74.0,52.0
25667,Diane,Medina,male,8690129048.0,Diane_25667@gmail.com,2002-10-17,61.0,0.0,6.0,7.0,7.0,6.0,7.0,6.0,8.0,0.0,78.0,77.0,79.0,77.0,75.0,76.0,77.0,80.0,75.0,80.0,78.0,75.0,78.0,80.0,80.0
25668,Brian,Phillips,female,7030581014.0,Brian_25668@gmail.com,2004-8-26,56.0,3.0,5.0,5.0,6.0,6.0,5.0,5.0,10.0,0.0,70.0,71.0,70.0,73.0,72.0,73.0,75.0,74.0,75.0,71.0,71.0,72.0,73.0,72.0,74.0
25669,Albert,Valentine,female,8058238164.0,Albert_25669@gmail.com,2003-7-21,53.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,9.0,0.0,68.0,70.0,69.0,70.0,68.0,65.0,65.0,67.0,69.0,69.0,65.0,66.0,70.0,70.0,70.0
25670,Ashley,Baker,female,8716409925.0,Ashley_25670@gmail.com,2004-7-17,45.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,10.0,0.0,64.0,60.0,60.0,65.0,60.0,64.0,62.0,64.0,62.0,60.0,62.0,65.0,64.0,64.0,60.0
25671,Jonathan,Tapia,male,8210941586.0,Jonathan_25671@gmail.com,2003-2-3,42.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,0.0,60.0,60.0,57.0,55.0,59.0,57.0,59.0,58.0,60.0,60.0,59.0,57.0,56.0,58.0,56.0
25672,Katherine,Odonnell,male,8897760622.0,Katherine_25672@gmail.com,2003-3-24,37.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,0.0,51.0,53.0,50.0,51.0,55.0,51.0,53.0,50.0,51.0,51.0,50.0,54.0,54.0,55.0,54.0
25673,Richard,Moore,female,6503463742.0,Richard_25673@gmail.com,2004-1-9,35.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,8.0,0.0,49.0,49.0,47.0,48.0,50.0,50.0,50.0,50.0,46.0,50.0,47.0,45.0,45.0,45.0,47.0
25674,Matthew,Allen,female,8931644023.0,Matthew_25674@gmail.com,2002-4-13,29.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,9.0,0.0,43.0,42.0,43.0,42.0,40.0,44.0,40.0,40.0,43.0,41.0,40.0,43.0,40.0,43.0,40.0
25675,Shannon,Jenkins,female,6438025374.0,Shannon_25675@gmail.com,2004-5-22,20.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,38.0,37.0,35.0,36.0,35.0,37.0,40.0,35.0,36.0,38.0,36.0,39.0,35.0,38.0,39.0
25676,Roy,Baker,male,7267361171.0,Roy_25676@gmail.com,2003-11-10,17.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,33.0,30.0,31.0,34.0,30.0,33.0,31.0,32.0,34.0,33.0,35.0,30.0,34.0,31.0,30.0
25677,Jeremy,Cooke,male,8229063917.0,Jeremy_25677@gmail.com,2003-8-15,12.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,30.0,28.0,28.0,27.0,29.0,29.0,28.0,25.0,29.0,28.0,26.0,25.0,30.0,27.0,27.0
25678,Kyle,Freeman,female,7478996667.0,Kyle_25678@gmail.com,2003-2-15,5.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,13.0,14.0,12.0,13.0,23.0,25.0,21.0,10.0,10.0,22.0,22.0,17.0,10.0,20.0,25.0
25679,Bridget,Golden,male,8044707269.0,Bridget_25679@gmail.com,2003-5-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,9.0,7.0,2.0,1.0,0.0,5.0,0.0,10.0,0.0,6.0,7.0,8.0,4.0,4.0
25680,Andrew,Anderson,female,6402611657.0,Andrew_25680@gmail.com,2004-1-6,99.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,1.0,0.0,120.0,117.0,120.0,118.0,113.0,117.0,115.0,118.0,120.0,116.0,114.0,111.0,120.0,119.0,116.0
25681,Evan,Stark,male,8460330673.0,Evan_25681@gmail.com,2003-5-23,93.0,6.0,9.0,10.0,10.0,10.0,9.0,9.0,5.0,0.0,107.0,108.0,108.0,105.0,108.0,105.0,109.0,106.0,105.0,110.0,109.0,108.0,108.0,110.0,110.0
25682,Barbara,Liu,male,9075714144.0,Barbara_25682@gmail.com,2003-11-9,88.0,4.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,0.0,101.0,101.0,102.0,101.0,105.0,103.0,100.0,103.0,102.0,105.0,104.0,100.0,101.0,100.0,103.0
25683,Jill,Pearson,female,7340618936.0,Jill_25683@gmail.com,2004-6-3,82.0,5.0,9.0,9.0,8.0,8.0,8.0,8.0,4.0,0.0,97.0,98.0,100.0,95.0,95.0,96.0,97.0,98.0,97.0,98.0,96.0,97.0,95.0,98.0,95.0
25684,Monica,Barber,female,8727430565.0,Monica_25684@gmail.com,2004-3-27,78.0,2.0,8.0,8.0,8.0,7.0,7.0,8.0,2.0,0.0,95.0,95.0,92.0,95.0,91.0,94.0,91.0,95.0,95.0,94.0,91.0,95.0,95.0,91.0,90.0
25685,Angela,Huynh,female,9286680861.0,Angela_25685@gmail.com,2002-2-28,73.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,0.0,86.0,86.0,86.0,90.0,89.0,87.0,86.0,88.0,85.0,87.0,87.0,85.0,88.0,88.0,90.0
25686,Kristine,Lopez,female,7651883644.0,Kristine_25686@gmail.com,2004-7-27,65.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,4.0,0.0,81.0,83.0,83.0,83.0,85.0,84.0,85.0,81.0,82.0,85.0,85.0,82.0,60.0,72.0,64.0
25687,Joshua,Thomas,female,7749697797.0,Joshua_25687@gmail.com,2004-2-7,65.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,1.0,0.0,78.0,80.0,76.0,78.0,78.0,80.0,76.0,75.0,80.0,80.0,79.0,75.0,75.0,76.0,79.0
25688,Karen,Bates,male,6297143618.0,Karen_25688@gmail.com,2002-6-16,57.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,2.0,0.0,71.0,72.0,74.0,73.0,74.0,72.0,70.0,75.0,75.0,72.0,73.0,72.0,72.0,70.0,74.0
25689,Jeffrey,Ponce,male,6720776013.0,Jeffrey_25689@gmail.com,2004-12-22,50.0,8.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,0.0,66.0,65.0,70.0,66.0,68.0,70.0,69.0,67.0,70.0,67.0,65.0,66.0,67.0,68.0,66.0
25690,Eileen,Hall,female,8994956464.0,Eileen_25690@gmail.com,2002-7-25,46.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,0.0,62.0,64.0,60.0,61.0,62.0,62.0,63.0,60.0,60.0,60.0,65.0,63.0,65.0,60.0,65.0
25691,Christopher,Hill,male,7557732962.0,Christopher_25691@gmail.com,2003-9-16,42.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,10.0,0.0,58.0,56.0,60.0,57.0,57.0,59.0,57.0,57.0,57.0,60.0,58.0,55.0,57.0,55.0,57.0
25692,Hannah,Fischer,male,8732473054.0,Hannah_25692@gmail.com,2003-5-22,38.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,9.0,0.0,51.0,55.0,55.0,50.0,54.0,54.0,50.0,53.0,51.0,50.0,50.0,54.0,50.0,55.0,51.0
25693,Megan,Escobar,female,7422441514.0,Megan_25693@gmail.com,2003-8-7,35.0,8.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,0.0,47.0,47.0,48.0,46.0,46.0,47.0,47.0,48.0,45.0,48.0,47.0,49.0,49.0,50.0,50.0
25694,Karen,Bradshaw,female,7377572371.0,Karen_25694@gmail.com,2002-1-18,28.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,9.0,0.0,43.0,42.0,41.0,45.0,45.0,42.0,44.0,43.0,41.0,41.0,43.0,40.0,42.0,45.0,41.0
25695,Cameron,Roberts,female,9103635547.0,Cameron_25695@gmail.com,2004-6-3,24.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,0.0,40.0,36.0,39.0,35.0,37.0,38.0,35.0,40.0,39.0,40.0,38.0,37.0,39.0,36.0,39.0
25696,Angela,Bauer,male,6410778888.0,Angela_25696@gmail.com,2004-3-6,19.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,0.0,31.0,31.0,31.0,35.0,30.0,32.0,35.0,34.0,30.0,30.0,32.0,30.0,31.0,31.0,35.0
25697,Robin,Young,male,8805930972.0,Robin_25697@gmail.com,2004-7-5,15.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,25.0,30.0,27.0,26.0,27.0,26.0,29.0,29.0,27.0,28.0,25.0,27.0,27.0,28.0,29.0
25698,Bruce,Young,male,7791907952.0,Bruce_25698@gmail.com,2004-2-23,7.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,13.0,19.0,25.0,10.0,22.0,14.0,16.0,16.0,11.0,19.0,20.0,22.0,17.0,17.0,21.0
25699,Holly,Jacobson,male,6518456633.0,Holly_25699@gmail.com,2003-2-1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,6.0,3.0,9.0,1.0,9.0,6.0,9.0,4.0,4.0,9.0,10.0,9.0,10.0,8.0
25700,Taylor,Swanson,female,6666531975.0,Taylor_25700@gmail.com,2003-11-25,99.0,4.0,10.0,10.0,9.0,10.0,10.0,9.0,3.0,0.0,120.0,119.0,112.0,118.0,119.0,116.0,112.0,120.0,112.0,110.0,111.0,120.0,118.0,116.0,112.0
25701,Lacey,Kent,male,6770117266.0,Lacey_25701@gmail.com,2002-10-4,90.0,3.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,0.0,110.0,107.0,105.0,108.0,106.0,108.0,108.0,105.0,110.0,110.0,109.0,108.0,106.0,110.0,107.0
25702,Cristina,Crosby,female,9379228078.0,Cristina_25702@gmail.com,2002-11-28,89.0,4.0,9.0,9.0,8.0,9.0,9.0,9.0,3.0,0.0,105.0,105.0,103.0,101.0,103.0,102.0,104.0,102.0,102.0,102.0,101.0,100.0,102.0,104.0,101.0
25703,Mikayla,Rubio,male,6342205128.0,Mikayla_25703@gmail.com,2003-5-25,85.0,1.0,8.0,9.0,9.0,8.0,9.0,9.0,3.0,0.0,100.0,98.0,99.0,98.0,99.0,96.0,98.0,97.0,95.0,99.0,96.0,98.0,96.0,100.0,95.0
25704,Emily,Berry,male,6668517373.0,Emily_25704@gmail.com,2002-11-5,78.0,0.0,8.0,7.0,7.0,8.0,8.0,8.0,6.0,0.0,91.0,90.0,95.0,94.0,91.0,90.0,90.0,94.0,92.0,90.0,90.0,91.0,93.0,93.0,91.0
25705,Darrell,Hayes,male,9245577954.0,Darrell_25705@gmail.com,2003-12-14,71.0,6.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,0.0,90.0,85.0,90.0,86.0,90.0,85.0,86.0,90.0,89.0,90.0,89.0,86.0,88.0,87.0,85.0
25706,Kent,Hopkins,male,8753791705.0,Kent_25706@gmail.com,2003-11-25,65.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,0.0,83.0,84.0,83.0,81.0,84.0,83.0,82.0,85.0,81.0,82.0,84.0,80.0,57.0,76.0,77.0
25707,Charles,Thompson,male,8556121897.0,Charles_25707@gmail.com,2003-12-22,64.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,0.0,77.0,77.0,76.0,75.0,79.0,79.0,77.0,78.0,76.0,78.0,80.0,77.0,79.0,76.0,77.0
25708,Zachary,Ramsey,female,9017441058.0,Zachary_25708@gmail.com,2004-11-26,55.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,0.0,72.0,73.0,75.0,75.0,74.0,70.0,75.0,72.0,71.0,70.0,75.0,75.0,75.0,71.0,74.0
25709,Richard,Davis,male,9311324029.0,Richard_25709@gmail.com,2003-11-24,52.0,8.0,5.0,5.0,6.0,5.0,5.0,6.0,3.0,0.0,68.0,66.0,70.0,68.0,68.0,66.0,68.0,67.0,70.0,68.0,68.0,68.0,68.0,70.0,66.0
25710,Thomas,Smith,female,9060028719.0,Thomas_25710@gmail.com,2003-2-6,45.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,0.0,65.0,63.0,65.0,60.0,61.0,64.0,63.0,65.0,64.0,65.0,63.0,62.0,62.0,60.0,61.0
25711,Mark,Edwards,female,7123521378.0,Mark_25711@gmail.com,2004-1-7,44.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,56.0,57.0,60.0,59.0,55.0,55.0,55.0,58.0,59.0,57.0,56.0,59.0,57.0,59.0,56.0
25712,Susan,Alexander,female,6766802232.0,Susan_25712@gmail.com,2002-2-16,40.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,0.0,52.0,55.0,55.0,54.0,50.0,52.0,51.0,50.0,52.0,50.0,51.0,50.0,51.0,52.0,50.0
25713,Jennifer,Jensen,female,8442926293.0,Jennifer_25713@gmail.com,2003-9-22,33.0,8.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,0.0,49.0,47.0,50.0,45.0,48.0,48.0,47.0,45.0,46.0,47.0,49.0,46.0,50.0,46.0,45.0
25714,Aimee,Ayala,male,9251503885.0,Aimee_25714@gmail.com,2003-10-19,25.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,0.0,41.0,44.0,43.0,42.0,40.0,41.0,44.0,40.0,45.0,44.0,45.0,41.0,42.0,40.0,41.0
25715,Stacy,Miller,female,8688153127.0,Stacy_25715@gmail.com,2003-11-22,22.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,0.0,36.0,35.0,35.0,36.0,39.0,37.0,36.0,39.0,40.0,40.0,37.0,36.0,39.0,40.0,36.0
25716,Carol,Reed,female,8271083509.0,Carol_25716@gmail.com,2002-1-24,20.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,0.0,32.0,32.0,33.0,30.0,34.0,33.0,32.0,30.0,32.0,32.0,32.0,35.0,31.0,31.0,31.0
25717,Lori,Hernandez,female,7630116353.0,Lori_25717@gmail.com,2004-7-26,13.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,28.0,28.0,26.0,28.0,28.0,27.0,30.0,28.0,25.0,27.0,27.0,27.0,27.0,26.0,25.0
25718,Jessica,Lewis,female,7531070101.0,Jessica_25718@gmail.com,2004-9-22,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,23.0,19.0,13.0,17.0,18.0,14.0,16.0,14.0,17.0,17.0,13.0,24.0,19.0,15.0,24.0
